РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ТЕКСТА БИБЛИИ НА
АНГЛИЙСКОМ ЯЗЫКЕ, В РЕЖИМЕ ШИФРОВАНИЯ CFB,
РАЗМЕРОМ 4 351 186 БАЙТОВ.

------------------------------------------
| HEX | DEC | CHR |  FREQUENCY | PERCENT |
|  FE | 254 |     |      16995 |  0.39% |
|  CC | 204 |     |      16995 |  0.39% |
|  97 | 151 |     |      16994 |  0.39% |
|  19 |  25 |     |      16993 |  0.39% |
|  C5 | 197 |     |      16991 |  0.39% |
|  04 |   4 |     |      16990 |  0.39% |
|  09 |   9 |     |      16989 |  0.39% |
|  F5 | 245 |     |      16988 |  0.39% |
|  A5 | 165 |     |      16988 |  0.39% |
|  CA | 202 |     |      16986 |  0.39% |
|  0C |  12 |     |      16986 |  0.39% |
|  FB | 251 |     |      16985 |  0.39% |
|  F7 | 247 |     |      16984 |  0.39% |
|  AF | 175 |     |      16984 |  0.39% |
|  76 | 118 |   v |      16984 |  0.39% |
|  1F |  31 |     |      16982 |  0.39% |
|  1A |  26 |     |      16981 |  0.39% |
|  90 | 144 |     |      16979 |  0.39% |
|  68 | 104 |   h |      16978 |  0.39% |
|  31 |  49 |   1 |      16977 |  0.39% |
|  28 |  40 |   ( |      16977 |  0.39% |
|  22 |  34 |   " |      16977 |  0.39% |
|  AC | 172 |     |      16974 |  0.39% |
|  C9 | 201 |     |      16973 |  0.39% |
|  9B | 155 |     |      16972 |  0.39% |
|  72 | 114 |   r |      16971 |  0.39% |
|  E5 | 229 |     |      16963 |  0.39% |
|  57 |  87 |   W |      16963 |  0.39% |
|  01 |   1 |     |      16962 |  0.39% |
|  80 | 128 |     |      16961 |  0.39% |
|  D5 | 213 |     |      16959 |  0.39% |
|  3C |  60 |   < |      16956 |  0.39% |
|  9E | 158 |     |      16955 |  0.39% |
|  D0 | 208 |     |      16954 |  0.39% |
|  A0 | 160 |     |      16954 |  0.39% |
|  61 |  97 |   a |      16954 |  0.39% |
|  B8 | 184 |     |      16953 |  0.39% |
|  7F | 127 |     |      16953 |  0.39% |
|  88 | 136 |     |      16951 |  0.39% |
|  24 |  36 |   $ |      16951 |  0.39% |
|  2B |  43 |   + |      16949 |  0.39% |
|  60 |  96 |   ` |      16946 |  0.39% |
|  69 | 105 |   i |      16944 |  0.39% |
|  3F |  63 |   ? |      16943 |  0.39% |
|  94 | 148 |     |      16940 |  0.39% |
|  9C | 156 |     |      16939 |  0.39% |
|  ED | 237 |     |      16938 |  0.39% |
|  A8 | 168 |     |      16938 |  0.39% |
|  23 |  35 |   # |      16938 |  0.39% |
|  D3 | 211 |     |      16937 |  0.39% |
|  96 | 150 |     |      16936 |  0.39% |
|  7B | 123 |   { |      16933 |  0.39% |
|  15 |  21 |     |      16932 |  0.39% |
|  DD | 221 |     |      16931 |  0.39% |
|  1D |  29 |     |      16928 |  0.39% |
|  0B |  11 |     |      16928 |  0.39% |
|  66 | 102 |   f |      16927 |  0.39% |
|  63 |  99 |   c |      16924 |  0.39% |
|  4E |  78 |   N |      16924 |  0.39% |
|  3A |  58 |   : |      16924 |  0.39% |
|  CD | 205 |     |      16921 |  0.39% |
|  58 |  88 |   X |      16921 |  0.39% |
|  EB | 235 |     |      16918 |  0.39% |
|  47 |  71 |   G |      16918 |  0.39% |
|  7D | 125 |   } |      16916 |  0.39% |
|  F1 | 241 |     |      16915 |  0.39% |
|  EA | 234 |     |      16914 |  0.39% |
|  DF | 223 |     |      16914 |  0.39% |
|  32 |  50 |   2 |      16913 |  0.39% |
|  EC | 236 |     |      16911 |  0.39% |
|  79 | 121 |   y |      16911 |  0.39% |
|  BF | 191 |     |      16910 |  0.39% |
|  9A | 154 |     |      16910 |  0.39% |
|  36 |  54 |   6 |      16904 |  0.39% |
|  59 |  89 |   Y |      16902 |  0.39% |
|  E9 | 233 |     |      16901 |  0.39% |
|  67 | 103 |   g |      16901 |  0.39% |
|  16 |  22 |     |      16901 |  0.39% |
|  6C | 108 |   l |      16899 |  0.39% |
|  99 | 153 |     |      16897 |  0.39% |
|  7C | 124 |   | |      16897 |  0.39% |
|  7E | 126 |   ~ |      16895 |  0.39% |
|  02 |   2 |     |      16895 |  0.39% |
|  E7 | 231 |     |      16894 |  0.39% |
|  00 |   0 |     |      16893 |  0.39% |
|  73 | 115 |   s |      16892 |  0.39% |
|  D7 | 215 |     |      16891 |  0.39% |
|  07 |   7 |     |      16891 |  0.39% |
|  21 |  33 |   ! |      16890 |  0.39% |
|  2D |  45 |   - |      16889 |  0.39% |
|  F6 | 246 |     |      16879 |  0.39% |
|  E0 | 224 |     |      16879 |  0.39% |
|  98 | 152 |     |      16879 |  0.39% |
|  34 |  52 |   4 |      16877 |  0.39% |
|  50 |  80 |   P |      16876 |  0.39% |
|  5D |  93 |   ] |      16875 |  0.39% |
|  EE | 238 |     |      16874 |  0.39% |
|  1B |  27 |     |      16874 |  0.39% |
|  06 |   6 |     |      16872 |  0.39% |
|  BD | 189 |     |      16870 |  0.39% |
|  77 | 119 |   w |      16870 |  0.39% |
|  6F | 111 |   o |      16869 |  0.39% |
|  65 | 101 |   e |      16866 |  0.39% |
|  FD | 253 |     |      16854 |  0.39% |
|  6B | 107 |   k |      16849 |  0.39% |
|  8F | 143 |     |      16848 |  0.39% |
|  33 |  51 |   3 |      16848 |  0.39% |
|  DB | 219 |     |      16847 |  0.39% |
|  D8 | 216 |     |      16846 |  0.39% |
|  2F |  47 |   / |      16841 |  0.39% |
|  13 |  19 |     |      16839 |  0.39% |
|  53 |  83 |   S |      16838 |  0.39% |
|  F4 | 244 |     |      16836 |  0.39% |
|  86 | 134 |     |      16831 |  0.39% |
|  45 |  69 |   E |      16828 |  0.39% |
|  CF | 207 |     |      16822 |  0.39% |
|  1C |  28 |     |      16816 |  0.39% |
|  81 | 129 |     |      16814 |  0.39% |
|  4C |  76 |   L |      16808 |  0.39% |
|  A3 | 163 |     |      16804 |  0.39% |
|  08 |   8 |     |      16800 |  0.39% |
|  20 |  32 |     |      16799 |  0.39% |
|  64 | 100 |   d |      16780 |  0.39% |
|  30 |  48 |   0 |      16775 |  0.39% |
|  C0 | 192 |     |      16768 |  0.39% |
|  2A |  42 |   * |      16726 |  0.38% |
|  B5 | 181 |     |      16708 |  0.38% |
|  46 |  70 |   F |      16707 |  0.38% |
|  A6 | 166 |     |      16691 |  0.38% |
|  8A | 138 |     |      16687 |  0.38% |
|  6D | 109 |   m |      16603 |  0.38% |
------------------------------------------
| bytes:	256
| symbols:	 94
------------------------------------------
