РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ФАЙЛА, СОДЕРЖАЩЕГО
202,915,840 ЗНАЧЕНИЙ 0x00, В РЕЖИМЕ
ШИФРОВАНИЯ CFB.

------------------------------------------
| HEX | DEC | CHR |  FREQUENCY | PERCENT |
|  6E | 110 |   n |     792745 |  0.39% |
|  93 | 147 |     |     792734 |  0.39% |
|  C7 | 199 |     |     792691 |  0.39% |
|  D4 | 212 |     |     792673 |  0.39% |
|  13 |  19 |     |     792654 |  0.39% |
|  B1 | 177 |     |     792648 |  0.39% |
|  12 |  18 |     |     792642 |  0.39% |
|  94 | 148 |     |     792631 |  0.39% |
|  62 |  98 |   b |     792623 |  0.39% |
|  0B |  11 |     |     792619 |  0.39% |
|  F1 | 241 |     |     792614 |  0.39% |
|  EC | 236 |     |     792604 |  0.39% |
|  40 |  64 |   @ |     792604 |  0.39% |
|  9F | 159 |     |     792600 |  0.39% |
|  B2 | 178 |     |     792562 |  0.39% |
|  64 | 100 |   d |     792561 |  0.39% |
|  FE | 254 |     |     792560 |  0.39% |
|  DE | 222 |     |     792560 |  0.39% |
|  E2 | 226 |     |     792555 |  0.39% |
|  41 |  65 |   A |     792555 |  0.39% |
|  9D | 157 |     |     792549 |  0.39% |
|  91 | 145 |     |     792544 |  0.39% |
|  72 | 114 |   r |     792527 |  0.39% |
|  8D | 141 |     |     792520 |  0.39% |
|  AA | 170 |     |     792514 |  0.39% |
|  74 | 116 |   t |     792512 |  0.39% |
|  71 | 113 |   q |     792508 |  0.39% |
|  E3 | 227 |     |     792490 |  0.39% |
|  3D |  61 |   = |     792488 |  0.39% |
|  CC | 204 |     |     792477 |  0.39% |
|  5E |  94 |   ^ |     792465 |  0.39% |
|  89 | 137 |     |     792448 |  0.39% |
|  C9 | 201 |     |     792444 |  0.39% |
|  68 | 104 |   h |     792423 |  0.39% |
|  C3 | 195 |     |     792418 |  0.39% |
|  25 |  37 |   % |     792390 |  0.39% |
|  D8 | 216 |     |     792378 |  0.39% |
|  47 |  71 |   G |     792378 |  0.39% |
|  59 |  89 |   Y |     792367 |  0.39% |
|  E9 | 233 |     |     792363 |  0.39% |
|  6B | 107 |   k |     792349 |  0.39% |
|  02 |   2 |     |     792324 |  0.39% |
|  F4 | 244 |     |     792315 |  0.39% |
|  C0 | 192 |     |     792288 |  0.39% |
|  85 | 133 |     |     792288 |  0.39% |
|  0A |  10 |     |     792272 |  0.39% |
|  A5 | 165 |     |     792266 |  0.39% |
|  01 |   1 |     |     792259 |  0.39% |
|  AD | 173 |     |     792253 |  0.39% |
|  D9 | 217 |     |     792230 |  0.39% |
|  77 | 119 |   w |     792214 |  0.39% |
|  EA | 234 |     |     792207 |  0.39% |
|  FF | 255 |     |     792199 |  0.39% |
|  DC | 220 |     |     792184 |  0.39% |
|  49 |  73 |   I |     792179 |  0.39% |
|  8C | 140 |     |     792169 |  0.39% |
|  08 |   8 |     |     792161 |  0.39% |
|  BD | 189 |     |     792141 |  0.39% |
|  92 | 146 |     |     792079 |  0.39% |
|  8A | 138 |     |     792065 |  0.39% |
|  4B |  75 |   K |     792062 |  0.39% |
|  37 |  55 |   7 |     792062 |  0.39% |
|  00 |   0 |     |     792062 |  0.39% |
|  C6 | 198 |     |     792058 |  0.39% |
|  FB | 251 |     |     792053 |  0.39% |
|  66 | 102 |   f |     792049 |  0.39% |
|  73 | 115 |   s |     792041 |  0.39% |
|  98 | 152 |     |     792040 |  0.39% |
|  6D | 109 |   m |     792015 |  0.39% |
|  22 |  34 |   " |     791991 |  0.39% |
|  ED | 237 |     |     791989 |  0.39% |
|  79 | 121 |   y |     791971 |  0.39% |
|  A8 | 168 |     |     791970 |  0.39% |
|  EE | 238 |     |     791953 |  0.39% |
|  B0 | 176 |     |     791950 |  0.39% |
|  38 |  56 |   8 |     791941 |  0.39% |
|  7D | 125 |   } |     791920 |  0.39% |
|  90 | 144 |     |     791919 |  0.39% |
|  E6 | 230 |     |     791867 |  0.39% |
|  51 |  81 |   Q |     791861 |  0.39% |
|  C5 | 197 |     |     791850 |  0.39% |
|  84 | 132 |     |     791842 |  0.39% |
|  D2 | 210 |     |     791823 |  0.39% |
|  7E | 126 |   ~ |     791823 |  0.39% |
|  BE | 190 |     |     791767 |  0.39% |
|  1A |  26 |     |     791752 |  0.39% |
|  D7 | 215 |     |     791722 |  0.39% |
|  E7 | 231 |     |     791712 |  0.39% |
|  43 |  67 |   C |     791708 |  0.39% |
|  88 | 136 |     |     791689 |  0.39% |
|  78 | 120 |   x |     791669 |  0.39% |
|  6F | 111 |   o |     791663 |  0.39% |
|  B3 | 179 |     |     791652 |  0.39% |
|  45 |  69 |   E |     791649 |  0.39% |
|  EF | 239 |     |     791645 |  0.39% |
|  A7 | 167 |     |     791595 |  0.39% |
|  D5 | 213 |     |     791592 |  0.39% |
|  18 |  24 |     |     791592 |  0.39% |
|  07 |   7 |     |     791568 |  0.39% |
|  75 | 117 |   u |     791555 |  0.39% |
|  D0 | 208 |     |     791503 |  0.39% |
|  20 |  32 |     |     791474 |  0.39% |
|  5C |  92 |   \ |     791469 |  0.39% |
|  58 |  88 |   X |     791450 |  0.39% |
|  7F | 127 |     |     791425 |  0.39% |
|  A6 | 166 |     |     791407 |  0.39% |
|  15 |  21 |     |     791387 |  0.39% |
|  04 |   4 |     |     791313 |  0.39% |
|  CA | 202 |     |     791247 |  0.39% |
|  D1 | 209 |     |     791244 |  0.39% |
|  4C |  76 |   L |     791210 |  0.39% |
|  6C | 108 |   l |     791158 |  0.39% |
|  1F |  31 |     |     791138 |  0.39% |
|  F5 | 245 |     |     791122 |  0.39% |
|  1C |  28 |     |     791080 |  0.39% |
|  28 |  40 |   ( |     791076 |  0.39% |
|  03 |   3 |     |     791055 |  0.39% |
|  AE | 174 |     |     791048 |  0.39% |
|  54 |  84 |   T |     791019 |  0.39% |
|  2B |  43 |   + |     790992 |  0.39% |
|  82 | 130 |     |     790917 |  0.39% |
|  F6 | 246 |     |     790859 |  0.39% |
|  A0 | 160 |     |     790763 |  0.39% |
|  63 |  99 |   c |     790747 |  0.39% |
|  70 | 112 |   p |     790739 |  0.39% |
|  9E | 158 |     |     790736 |  0.39% |
|  CB | 203 |     |     790706 |  0.39% |
|  67 | 103 |   g |     790352 |  0.39% |
|  E8 | 232 |     |     790280 |  0.39% |
|  FC | 252 |     |     790209 |  0.39% |
------------------------------------------

