
РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ТЕКСТА НА
АНГЛИЙСКОМ ЯЗЫКЕ, В РЕЖИМЕ ШИФРОВАНИЯ CFB,
РАЗМЕРОМ 16832565 БАЙТОВ.

------------------------------------------
| HEX | DEC | CHR |  QUANTITY  | PERCENT |
|  81 | 129 |     |      65757 |   0.39% |
|  84 | 132 |     |      65756 |   0.39% |
|  AE | 174 |     |      65752 |   0.39% |
|  35 |  53 |   5 |      65752 |   0.39% |
|  8E | 142 |     |      65751 |   0.39% |
|  72 | 114 |   r |      65746 |   0.39% |
|  2D |  45 |   - |      65745 |   0.39% |
|  E2 | 226 |     |      65743 |   0.39% |
|  54 |  84 |   T |      65738 |   0.39% |
|  4F |  79 |   O |      65737 |   0.39% |
|  66 | 102 |   f |      65735 |   0.39% |
|  F2 | 242 |     |      65732 |   0.39% |
|  71 | 113 |   q |      65725 |   0.39% |
|  7B | 123 |   { |      65724 |   0.39% |
|  39 |  57 |   9 |      65724 |   0.39% |
|  8F | 143 |     |      65722 |   0.39% |
|  52 |  82 |   R |      65722 |   0.39% |
|  3B |  59 |   ; |      65721 |   0.39% |
|  78 | 120 |   x |      65719 |   0.39% |
|  CB | 203 |     |      65714 |   0.39% |
|  FE | 254 |     |      65709 |   0.39% |
|  E6 | 230 |     |      65709 |   0.39% |
|  C9 | 201 |     |      65708 |   0.39% |
|  1A |  26 |     |      65703 |   0.39% |
|  3C |  60 |   < |      65700 |   0.39% |
|  26 |  38 |   & |      65700 |   0.39% |
|  6E | 110 |   n |      65699 |   0.39% |
|  B1 | 177 |     |      65697 |   0.39% |
|  3A |  58 |   : |      65695 |   0.39% |
|  25 |  37 |   % |      65694 |   0.39% |
|  4D |  77 |   M |      65690 |   0.39% |
|  33 |  51 |   3 |      65690 |   0.39% |
|  9F | 159 |     |      65688 |   0.39% |
|  C5 | 197 |     |      65687 |   0.39% |
|  2A |  42 |   * |      65686 |   0.39% |
|  1D |  29 |     |      65680 |   0.39% |
|  6A | 106 |   j |      65679 |   0.39% |
|  9B | 155 |     |      65678 |   0.39% |
|  67 | 103 |   g |      65676 |   0.39% |
|  02 |   2 |     |      65676 |   0.39% |
|  8C | 140 |     |      65673 |   0.39% |
|  CA | 202 |     |      65670 |   0.39% |
|  89 | 137 |     |      65668 |   0.39% |
|  B8 | 184 |     |      65667 |   0.39% |
|  04 |   4 |     |      65666 |   0.39% |
|  C8 | 200 |     |      65652 |   0.39% |
|  A7 | 167 |     |      65645 |   0.39% |
|  59 |  89 |   Y |      65645 |   0.39% |
|  7E | 126 |   ~ |      65642 |   0.39% |
|  23 |  35 |   # |      65641 |   0.39% |
|  60 |  96 |   ` |      65639 |   0.39% |
|  C0 | 192 |     |      65638 |   0.39% |
|  70 | 112 |   p |      65637 |   0.39% |
|  91 | 145 |     |      65632 |   0.39% |
|  41 |  65 |   A |      65623 |   0.39% |
|  2E |  46 |   . |      65621 |   0.39% |
|  E1 | 225 |     |      65620 |   0.39% |
|  48 |  72 |   H |      65619 |   0.39% |
|  45 |  69 |   E |      65619 |   0.39% |
|  F3 | 243 |     |      65615 |   0.39% |
|  20 |  32 |     |      65615 |   0.39% |
|  46 |  70 |   F |      65609 |   0.39% |
|  DB | 219 |     |      65607 |   0.39% |
